date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2021-01-01,32,,,,
2021-01-02,65,,,,
2021-01-03,72,97.0,False,0.97,69.84
2021-01-04,59,97.0,,0.97,57.23
2021-01-05,48,97.0,,0.97,46.56
2021-01-06,56,97.0,,0.97,54.32
2021-01-07,86,97.0,,0.97,83.42
2021-01-08,83,97.0,,0.97,80.50999999999999
2021-01-09,65,97.0,,0.97,63.05
2021-01-10,60,96.0,False,0.96,57.599999999999994
2021-01-11,100,96.0,,0.96,96.0
2021-01-12,70,96.0,,0.96,67.2
2021-01-13,62,96.0,,0.96,59.519999999999996
2021-01-14,61,96.0,,0.96,58.559999999999995
2021-01-15,56,96.0,,0.96,53.76
2021-01-16,42,96.0,,0.96,40.32
2021-01-17,37,59.0,False,0.59,21.83
2021-01-18,36,59.0,,0.59,21.24
2021-01-19,36,59.0,,0.59,21.24
2021-01-20,35,59.0,,0.59,20.65
2021-01-21,49,59.0,,0.59,28.91
2021-01-22,55,59.0,,0.59,32.449999999999996
2021-01-23,32,59.0,,0.59,18.88
2021-01-24,28,60.0,False,0.6,16.8
2021-01-25,30,60.0,,0.6,18.0
2021-01-26,30,60.0,,0.6,18.0
2021-01-27,34,60.0,,0.6,20.4
2021-01-28,36,60.0,,0.6,21.599999999999998
2021-01-29,65,60.0,,0.6,39.0
2021-01-30,39,60.0,,0.6,23.4
2021-01-31,29,51.0,False,0.51,14.790000000000001
2021-02-01,35,51.0,,0.51,17.85
2021-02-02,31,51.0,,0.51,15.81
2021-02-03,36,51.0,,0.51,18.36
2021-02-04,36,51.0,,0.51,18.36
2021-02-05,34,51.0,,0.51,17.34
2021-02-06,42,51.0,,0.51,21.42
2021-02-07,37,90.0,False,0.9,33.300000000000004
2021-02-08,90,90.0,,0.9,81.0
2021-02-09,100,90.0,,0.9,90.0
2021-02-10,66,90.0,,0.9,59.4
2021-02-11,58,90.0,,0.9,52.2
2021-02-12,59,90.0,,0.9,53.1
2021-02-13,45,90.0,,0.9,40.5
2021-02-14,47,82.0,False,0.82,38.54
2021-02-15,54,82.0,,0.82,44.279999999999994
2021-02-16,61,82.0,,0.82,50.019999999999996
2021-02-17,67,82.0,,0.82,54.94
2021-02-18,62,82.0,,0.82,50.839999999999996
2021-02-19,74,82.0,,0.82,60.68
2021-02-20,77,82.0,,0.82,63.13999999999999
2021-02-21,67,86.0,False,0.86,57.62
2021-02-22,76,86.0,,0.86,65.36
2021-02-23,91,86.0,,0.86,78.26
2021-02-24,68,86.0,,0.86,58.48
2021-02-25,57,86.0,,0.86,49.019999999999996
2021-02-26,58,86.0,,0.86,49.88
2021-02-27,39,86.0,,0.86,33.54
2021-02-28,43,61.0,False,0.61,26.23
2021-03-01,100,61.0,,0.61,61.0
2021-03-02,87,61.0,,0.61,53.07
2021-03-03,78,61.0,,0.61,47.58
2021-03-04,80,61.0,,0.61,48.8
2021-03-05,79,61.0,,0.61,48.19
2021-03-06,70,61.0,,0.61,42.699999999999996
2021-03-07,69,56.0,False,0.56,38.64
2021-03-08,74,56.0,,0.56,41.440000000000005
2021-03-09,88,56.0,,0.56,49.28
2021-03-10,85,56.0,,0.56,47.6
2021-03-11,76,56.0,,0.56,42.56
2021-03-12,75,56.0,,0.56,42.00000000000001
2021-03-13,99,56.0,,0.56,55.440000000000005
2021-03-14,92,57.0,False,0.57,52.44
2021-03-15,95,57.0,,0.57,54.15
2021-03-16,91,57.0,,0.57,51.87
2021-03-17,82,57.0,,0.57,46.739999999999995
2021-03-18,81,57.0,,0.57,46.169999999999995
2021-03-19,67,57.0,,0.57,38.19
2021-03-20,64,57.0,,0.57,36.48
2021-03-21,59,51.0,False,0.51,30.09
2021-03-22,75,51.0,,0.51,38.25
2021-03-23,70,51.0,,0.51,35.7
2021-03-24,77,51.0,,0.51,39.27
2021-03-25,86,51.0,,0.51,43.86
2021-03-26,72,51.0,,0.51,36.72
2021-03-27,66,51.0,,0.51,33.660000000000004
2021-03-28,59,50.0,False,0.5,29.5
2021-03-29,73,50.0,,0.5,36.5
2021-03-30,69,50.0,,0.5,34.5
2021-03-31,70,50.0,,0.5,35.0
2021-04-01,76,50.0,,0.5,38.0
2021-04-02,48,50.0,,0.5,24.0
2021-04-03,45,50.0,,0.5,22.5
2021-04-04,41,43.0,False,0.43,17.63
2021-04-05,45,43.0,,0.43,19.35
2021-04-06,44,43.0,,0.43,18.919999999999998
2021-04-07,43,43.0,,0.43,18.49
2021-04-08,40,43.0,,0.43,17.2
2021-04-09,38,43.0,,0.43,16.34
2021-04-10,43,43.0,,0.43,18.49
2021-04-11,45,63.0,False,0.63,28.35
2021-04-12,44,63.0,,0.63,27.72
2021-04-13,68,63.0,,0.63,42.84
2021-04-14,81,63.0,,0.63,51.03
2021-04-15,61,63.0,,0.63,38.43
2021-04-16,85,63.0,,0.63,53.55
2021-04-17,58,63.0,,0.63,36.54
2021-04-18,96,76.0,False,0.76,72.96000000000001
2021-04-19,83,76.0,,0.76,63.08
2021-04-20,69,76.0,,0.76,52.44
2021-04-21,59,76.0,,0.76,44.84
2021-04-22,66,76.0,,0.76,50.160000000000004
2021-04-23,100,76.0,,0.76,76.0
2021-04-24,64,76.0,,0.76,48.64
2021-04-25,56,51.0,False,0.51,28.560000000000002
2021-04-26,66,51.0,,0.51,33.660000000000004
2021-04-27,63,51.0,,0.51,32.13
2021-04-28,54,51.0,,0.51,27.54
2021-04-29,42,51.0,,0.51,21.42
2021-04-30,44,51.0,,0.51,22.44
2021-05-01,26,51.0,,0.51,13.26
2021-05-02,24,51.0,False,0.51,12.24
2021-05-03,26,51.0,,0.51,13.26
2021-05-04,30,51.0,,0.51,15.3
2021-05-05,29,51.0,,0.51,14.790000000000001
2021-05-06,26,51.0,,0.51,13.26
2021-05-07,25,51.0,,0.51,12.75
2021-05-08,29,51.0,,0.51,14.790000000000001
2021-05-09,29,72.0,False,0.72,20.88
2021-05-10,30,72.0,,0.72,21.599999999999998
2021-05-11,26,72.0,,0.72,18.72
2021-05-12,32,72.0,,0.72,23.04
2021-05-13,75,72.0,,0.72,54.0
2021-05-14,41,72.0,,0.72,29.52
2021-05-15,31,72.0,,0.72,22.32
2021-05-16,34,100.0,False,1.0,34.0
2021-05-17,56,100.0,,1.0,56.0
2021-05-18,39,100.0,,1.0,39.0
2021-05-19,100,100.0,,1.0,100.0
2021-05-20,72,100.0,,1.0,72.0
2021-05-21,59,100.0,,1.0,59.0
2021-05-22,47,100.0,,1.0,47.0
2021-05-23,58,73.0,False,0.73,42.339999999999996
2021-05-24,58,73.0,,0.73,42.339999999999996
2021-05-25,44,73.0,,0.73,32.12
2021-05-26,34,73.0,,0.73,24.82
2021-05-27,29,73.0,,0.73,21.169999999999998
2021-05-28,30,73.0,,0.73,21.9
2021-05-29,31,73.0,,0.73,22.63
2021-05-30,28,50.0,False,0.5,14.0
2021-05-31,29,50.0,,0.5,14.5
2021-06-01,58,50.0,,0.5,29.0
2021-06-02,59,50.0,,0.5,29.5
2021-06-03,47,50.0,,0.5,23.5
2021-06-04,66,50.0,,0.5,33.0
2021-06-05,58,50.0,,0.5,29.0
2021-06-06,58,54.0,False,0.54,31.32
2021-06-07,58,54.0,,0.54,31.32
2021-06-08,95,54.0,,0.54,51.300000000000004
2021-06-09,78,54.0,,0.54,42.120000000000005
2021-06-10,66,54.0,,0.54,35.64
2021-06-11,60,54.0,,0.54,32.400000000000006
2021-06-12,50,54.0,,0.54,27.0
2021-06-13,52,43.0,False,0.43,22.36
2021-06-14,62,43.0,,0.43,26.66
2021-06-15,55,43.0,,0.43,23.65
2021-06-16,49,43.0,,0.43,21.07
2021-06-17,47,43.0,,0.43,20.21
2021-06-18,52,43.0,,0.43,22.36
2021-06-19,41,43.0,,0.43,17.63
2021-06-20,46,50.0,False,0.5,23.0
2021-06-21,65,50.0,,0.5,32.5
2021-06-22,100,50.0,,0.5,50.0
2021-06-23,67,50.0,,0.5,33.5
2021-06-24,55,50.0,,0.5,27.5
2021-06-25,52,50.0,,0.5,26.0
