Symbol,Name
Bitcoin USDBTC-USD,Bitcoin USD
Ethereum USDETH-USD,Ethereum USD
Tether USDUSDT-USD,Tether USD
USD Coin USDUSDC-USD,USD Coin USD
Binance Coin USDBNB-USD,Binance Coin USD
Binance USD USDBUSD-USD,Binance USD USD
XRP USDXRP-USD,XRP USD
Cardano USDADA-USD,Cardano USD
Solana USDSOL-USD,Solana USD
Dogecoin USDDOGE-USD,Dogecoin USD
HEX USDHEX-USD,HEX USD
Polkadot USDDOT-USD,Polkadot USD
SHIBA INU USDSHIB-USD,SHIBA INU USD
Dai USDDAI-USD,Dai USD
Polygon USDMATIC-USD,Polygon USD
Wrapped TRON USDWTRX-USD,Wrapped TRON USD
Avalanche USDAVAX-USD,Avalanche USD
TRON USDTRX-USD,TRON USD
Lido stETH USDSTETH-USD,Lido stETH USD
Wrapped Bitcoin USDWBTC-USD,Wrapped Bitcoin USD
UNUS SED LEO USDLEO-USD,UNUS SED LEO USD
Ethereum Classic USDETC-USD,Ethereum Classic USD
UNI1-USD,Uniswap USD
yOUcash USDYOUC-USD,yOUcash USD
Litecoin USDLTC-USD,Litecoin USD
FTX Token USDFTT-USD,FTX Token USD
Cosmos USDATOM-USD,Cosmos USD
Chainlink USDLINK-USD,Chainlink USD
Crypto.com Coin USDCRO-USD,Crypto.com Coin USD
NEAR Protocol USDNEAR-USD,NEAR Protocol USD
Monero USDXMR-USD,Monero USD
Stellar USDXLM-USD,Stellar USD
Bitcoin Cash USDBCH-USD,Bitcoin Cash USD
Bitcoin BEP2 USDBTCB-USD,Bitcoin BEP2 USD
Algorand USDALGO-USD,Algorand USD
Flow USDFLOW-USD,Flow USD
VeChain USDVET-USD,VeChain USD
XCN1-USD,Chain USD
TONCOIN-USD,Toncoin USD
EOS USDEOS-USD,EOS USD
Filecoin USDFIL-USD,Filecoin USD
Internet Computer USDICP-USD,Internet Computer USD
APE3-USD,ApeCoin USD
Decentraland USDMANA-USD,Decentraland USD
Frax USDFRAX-USD,Frax USD
The Sandbox USDSAND-USD,The Sandbox USD
Tezos USDXTZ-USD,Tezos USD
Hedera USDHBAR-USD,Hedera USD
Chiliz USDCHZ-USD,Chiliz USD
